battery_id,voltage,current,temperature,capacity,cycle_count,status
BATT00001,3.01,0.51,20.1,1001,1,OK
BATT00002,3.02,0.52,20.2,1002,2,OK
BATT00003,3.03,0.53,20.3,1003,3,OK
BATT00004,3.04,0.54,20.4,1004,4,OK
BATT00005,3.05,0.55,20.5,1005,5,OK
BATT00006,3.06,0.56,20.6,1006,6,OK
BATT00007,3.07,0.57,20.7,1007,7,OK
BATT00008,3.08,0.58,20.8,1008,8,OK
BATT00009,3.09,0.59,20.9,1009,9,OK
BATT00010,3.1,0.6,21.0,1010,10,WARN
BATT00011,3.11,0.61,21.1,1011,11,OK
BATT00012,3.12,0.62,21.2,1012,12,OK
BATT00013,3.13,0.63,21.3,1013,13,OK
BATT00014,3.14,0.64,21.4,1014,14,OK
BATT00015,3.15,0.65,21.5,1015,15,OK
BATT00016,3.16,0.66,21.6,1016,16,OK
BATT00017,3.17,0.67,21.7,1017,17,OK
BATT00018,3.18,0.68,21.8,1018,18,OK
BATT00019,3.19,0.69,21.9,1019,19,OK
BATT00020,3.2,0.7,22.0,1020,20,WARN
BATT00021,3.21,0.71,22.1,1021,21,OK
BATT00022,3.22,0.72,22.2,1022,22,OK
BATT00023,3.23,0.73,22.3,1023,23,OK
BATT00024,3.24,0.74,22.4,1024,24,OK
BATT00025,3.25,0.75,22.5,1025,25,OK
BATT00026,3.26,0.76,22.6,1026,26,OK
BATT00027,3.27,0.77,22.7,1027,27,OK
BATT00028,3.28,0.78,22.8,1028,28,OK
BATT00029,3.29,0.79,22.9,1029,29,OK
BATT00030,3.3,0.8,20.0,1030,30,WARN
BATT00031,3.31,0.81,20.1,1031,31,OK
BATT00032,3.32,0.82,20.2,1032,32,OK
BATT00033,3.33,0.83,20.3,1033,33,OK
BATT00034,3.34,0.84,20.4,1034,34,OK
BATT00035,3.35,0.85,20.5,1035,35,OK
BATT00036,3.36,0.86,20.6,1036,36,OK
BATT00037,3.37,0.87,20.7,1037,37,OK
BATT00038,3.38,0.88,20.8,1038,38,OK
BATT00039,3.39,0.89,20.9,1039,39,OK
BATT00040,3.4,0.9,21.0,1040,40,WARN
BATT00041,3.41,0.91,21.1,1041,41,OK
BATT00042,3.42,0.92,21.2,1042,42,OK
BATT00043,3.43,0.93,21.3,1043,43,OK
BATT00044,3.44,0.94,21.4,1044,44,OK
BATT00045,3.45,0.95,21.5,1045,45,OK
BATT00046,3.46,0.96,21.6,1046,46,OK
BATT00047,3.47,0.97,21.7,1047,47,OK
BATT00048,3.48,0.98,21.8,1048,48,OK
BATT00049,3.49,0.99,21.9,1049,49,OK
BATT00050,3.5,0.5,22.0,1050,50,WARN
BATT00051,3.51,0.51,22.1,1051,51,OK
BATT00052,3.52,0.52,22.2,1052,52,OK
BATT00053,3.53,0.53,22.3,1053,53,OK
BATT00054,3.54,0.54,22.4,1054,54,OK
BATT00055,3.55,0.55,22.5,1055,55,OK
BATT00056,3.56,0.56,22.6,1056,56,OK
BATT00057,3.57,0.57,22.7,1057,57,OK
BATT00058,3.58,0.58,22.8,1058,58,OK
BATT00059,3.59,0.59,22.9,1059,59,OK
BATT00060,3.6,0.6,20.0,1060,60,WARN
BATT00061,3.61,0.61,20.1,1061,61,OK
BATT00062,3.62,0.62,20.2,1062,62,OK
BATT00063,3.63,0.63,20.3,1063,63,OK
BATT00064,3.64,0.64,20.4,1064,64,OK
BATT00065,3.65,0.65,20.5,1065,65,OK
BATT00066,3.66,0.66,20.6,1066,66,OK
BATT00067,3.67,0.67,20.7,1067,67,OK
BATT00068,3.68,0.68,20.8,1068,68,OK
BATT00069,3.69,0.69,20.9,1069,69,OK
BATT00070,3.7,0.7,21.0,1070,70,WARN
BATT00071,3.71,0.71,21.1,1071,71,OK
BATT00072,3.72,0.72,21.2,1072,72,OK
BATT00073,3.73,0.73,21.3,1073,73,OK
BATT00074,3.74,0.74,21.4,1074,74,OK
BATT00075,3.75,0.75,21.5,1075,75,OK
BATT00076,3.76,0.76,21.6,1076,76,OK
BATT00077,3.77,0.77,21.7,1077,77,OK
BATT00078,3.78,0.78,21.8,1078,78,OK
BATT00079,3.79,0.79,21.9,1079,79,OK
BATT00080,3.8,0.8,22.0,1080,80,WARN
BATT00081,3.81,0.81,22.1,1081,81,OK
BATT00082,3.82,0.82,22.2,1082,82,OK
BATT00083,3.83,0.83,22.3,1083,83,OK
BATT00084,3.84,0.84,22.4,1084,84,OK
BATT00085,3.85,0.85,22.5,1085,85,OK
BATT00086,3.86,0.86,22.6,1086,86,OK
BATT00087,3.87,0.87,22.7,1087,87,OK
BATT00088,3.88,0.88,22.8,1088,88,OK
BATT00089,3.89,0.89,22.9,1089,89,OK
BATT00090,3.9,0.9,20.0,1090,90,WARN
BATT00091,3.91,0.91,20.1,1091,91,OK
BATT00092,3.92,0.92,20.2,1092,92,OK
BATT00093,3.93,0.93,20.3,1093,93,OK
BATT00094,3.94,0.94,20.4,1094,94,OK
BATT00095,3.95,0.95,20.5,1095,95,OK
BATT00096,3.96,0.96,20.6,1096,96,OK
BATT00097,3.97,0.97,20.7,1097,97,OK
BATT00098,3.98,0.98,20.8,1098,98,OK
BATT00099,3.99,0.99,20.9,1099,99,OK
BATT00100,3.0,0.5,21.0,1100,0,WARN
BATT00101,3.01,0.51,21.1,1101,1,OK
BATT00102,3.02,0.52,21.2,1102,2,OK
BATT00103,3.03,0.53,21.3,1103,3,OK
BATT00104,3.04,0.54,21.4,1104,4,OK
BATT00105,3.05,0.55,21.5,1105,5,OK
BATT00106,3.06,0.56,21.6,1106,6,OK
BATT00107,3.07,0.57,21.7,1107,7,OK
BATT00108,3.08,0.58,21.8,1108,8,OK
BATT00109,3.09,0.59,21.9,1109,9,OK
BATT00110,3.1,0.6,22.0,1110,10,WARN
BATT00111,3.11,0.61,22.1,1111,11,OK
BATT00112,3.12,0.62,22.2,1112,12,OK
BATT00113,3.13,0.63,22.3,1113,13,OK
BATT00114,3.14,0.64,22.4,1114,14,OK
BATT00115,3.15,0.65,22.5,1115,15,OK
BATT00116,3.16,0.66,22.6,1116,16,OK
BATT00117,3.17,0.67,22.7,1117,17,OK
BATT00118,3.18,0.68,22.8,1118,18,OK
BATT00119,3.19,0.69,22.9,1119,19,OK
BATT00120,3.2,0.7,20.0,1120,20,WARN
BATT00121,3.21,0.71,20.1,1121,21,OK
BATT00122,3.22,0.72,20.2,1122,22,OK
BATT00123,3.23,0.73,20.3,1123,23,OK
BATT00124,3.24,0.74,20.4,1124,24,OK
BATT00125,3.25,0.75,20.5,1125,25,OK
BATT00126,3.26,0.76,20.6,1126,26,OK
BATT00127,3.27,0.77,20.7,1127,27,OK
BATT00128,3.28,0.78,20.8,1128,28,OK
BATT00129,3.29,0.79,20.9,1129,29,OK
BATT00130,3.3,0.8,21.0,1130,30,WARN
BATT00131,3.31,0.81,21.1,1131,31,OK
BATT00132,3.32,0.82,21.2,1132,32,OK
BATT00133,3.33,0.83,21.3,1133,33,OK
BATT00134,3.34,0.84,21.4,1134,34,OK
BATT00135,3.35,0.85,21.5,1135,35,OK
BATT00136,3.36,0.86,21.6,1136,36,OK
BATT00137,3.37,0.87,21.7,1137,37,OK
BATT00138,3.38,0.88,21.8,1138,38,OK
BATT00139,3.39,0.89,21.9,1139,39,OK
BATT00140,3.4,0.9,22.0,1140,40,WARN
BATT00141,3.41,0.91,22.1,1141,41,OK
BATT00142,3.42,0.92,22.2,1142,42,OK
BATT00143,3.43,0.93,22.3,1143,43,OK
BATT00144,3.44,0.94,22.4,1144,44,OK
BATT00145,3.45,0.95,22.5,1145,45,OK
BATT00146,3.46,0.96,22.6,1146,46,OK
BATT00147,3.47,0.97,22.7,1147,47,OK
BATT00148,3.48,0.98,22.8,1148,48,OK
BATT00149,3.49,0.99,22.9,1149,49,OK
BATT00150,3.5,0.5,20.0,1150,50,WARN
BATT00151,3.51,0.51,20.1,1151,51,OK
BATT00152,3.52,0.52,20.2,1152,52,OK
BATT00153,3.53,0.53,20.3,1153,53,OK
BATT00154,3.54,0.54,20.4,1154,54,OK
BATT00155,3.55,0.55,20.5,1155,55,OK
BATT00156,3.56,0.56,20.6,1156,56,OK
BATT00157,3.57,0.57,20.7,1157,57,OK
BATT00158,3.58,0.58,20.8,1158,58,OK
BATT00159,3.59,0.59,20.9,1159,59,OK
BATT00160,3.6,0.6,21.0,1160,60,WARN
BATT00161,3.61,0.61,21.1,1161,61,OK
BATT00162,3.62,0.62,21.2,1162,62,OK
BATT00163,3.63,0.63,21.3,1163,63,OK
BATT00164,3.64,0.64,21.4,1164,64,OK
BATT00165,3.65,0.65,21.5,1165,65,OK
BATT00166,3.66,0.66,21.6,1166,66,OK
BATT00167,3.67,0.67,21.7,1167,67,OK
BATT00168,3.68,0.68,21.8,1168,68,OK
BATT00169,3.69,0.69,21.9,1169,69,OK
BATT00170,3.7,0.7,22.0,1170,70,WARN
BATT00171,3.71,0.71,22.1,1171,71,OK
BATT00172,3.72,0.72,22.2,1172,72,OK
BATT00173,3.73,0.73,22.3,1173,73,OK
BATT00174,3.74,0.74,22.4,1174,74,OK
BATT00175,3.75,0.75,22.5,1175,75,OK
BATT00176,3.76,0.76,22.6,1176,76,OK
BATT00177,3.77,0.77,22.7,1177,77,OK
BATT00178,3.78,0.78,22.8,1178,78,OK
BATT00179,3.79,0.79,22.9,1179,79,OK
BATT00180,3.8,0.8,20.0,1180,80,WARN
BATT00181,3.81,0.81,20.1,1181,81,OK
BATT00182,3.82,0.82,20.2,1182,82,OK
BATT00183,3.83,0.83,20.3,1183,83,OK
BATT00184,3.84,0.84,20.4,1184,84,OK
BATT00185,3.85,0.85,20.5,1185,85,OK
BATT00186,3.86,0.86,20.6,1186,86,OK
BATT00187,3.87,0.87,20.7,1187,87,OK
BATT00188,3.88,0.88,20.8,1188,88,OK
BATT00189,3.89,0.89,20.9,1189,89,OK
BATT00190,3.9,0.9,21.0,1190,90,WARN
BATT00191,3.91,0.91,21.1,1191,91,OK
BATT00192,3.92,0.92,21.2,1192,92,OK
BATT00193,3.93,0.93,21.3,1193,93,OK
BATT00194,3.94,0.94,21.4,1194,94,OK
BATT00195,3.95,0.95,21.5,1195,95,OK
BATT00196,3.96,0.96,21.6,1196,96,OK
BATT00197,3.97,0.97,21.7,1197,97,OK
BATT00198,3.98,0.98,21.8,1198,98,OK
BATT00199,3.99,0.99,21.9,1199,99,OK
BATT00200,3.0,0.5,22.0,1200,0,WARN
BATT00201,3.01,0.51,22.1,1201,1,OK
BATT00202,3.02,0.52,22.2,1202,2,OK
BATT00203,3.03,0.53,22.3,1203,3,OK
BATT00204,3.04,0.54,22.4,1204,4,OK
BATT00205,3.05,0.55,22.5,1205,5,OK
BATT00206,3.06,0.56,22.6,1206,6,OK
BATT00207,3.07,0.57,22.7,1207,7,OK
BATT00208,3.08,0.58,22.8,1208,8,OK
BATT00209,3.09,0.59,22.9,1209,9,OK
BATT00210,3.1,0.6,20.0,1210,10,WARN
BATT00211,3.11,0.61,20.1,1211,11,OK
BATT00212,3.12,0.62,20.2,1212,12,OK
BATT00213,3.13,0.63,20.3,1213,13,OK
BATT00214,3.14,0.64,20.4,1214,14,OK
BATT00215,3.15,0.65,20.5,1215,15,OK
BATT00216,3.16,0.66,20.6,1216,16,OK
BATT00217,3.17,0.67,20.7,1217,17,OK
BATT00218,3.18,0.68,20.8,1218,18,OK
BATT00219,3.19,0.69,20.9,1219,19,OK
BATT00220,3.2,0.7,21.0,1220,20,WARN
BATT00221,3.21,0.71,21.1,1221,21,OK
BATT00222,3.22,0.72,21.2,1222,22,OK
BATT00223,3.23,0.73,21.3,1223,23,OK
BATT00224,3.24,0.74,21.4,1224,24,OK
BATT00225,3.25,0.75,21.5,1225,25,OK
BATT00226,3.26,0.76,21.6,1226,26,OK
BATT00227,3.27,0.77,21.7,1227,27,OK
BATT00228,3.28,0.78,21.8,1228,28,OK
BATT00229,3.29,0.79,21.9,1229,29,OK
BATT00230,3.3,0.8,22.0,1230,30,WARN
BATT00231,3.31,0.81,22.1,1231,31,OK
BATT00232,3.32,0.82,22.2,1232,32,OK
BATT00233,3.33,0.83,22.3,1233,33,OK
BATT00234,3.34,0.84,22.4,1234,34,OK
BATT00235,3.35,0.85,22.5,1235,35,OK
BATT00236,3.36,0.86,22.6,1236,36,OK
BATT00237,3.37,0.87,22.7,1237,37,OK
BATT00238,3.38,0.88,22.8,1238,38,OK
BATT00239,3.39,0.89,22.9,1239,39,OK
BATT00240,3.4,0.9,20.0,1240,40,WARN
